,title,genre,summary
2,The Eyes of the Overworld,fantasy," Cugel is easily persuaded by the merchant Fianosther to attempt the burglary of the manse of Iucounu the Laughing Magician. Trapped and caught, he agrees that in exchange for his freedom he will undertake the recovery of a small hemisphere of violet glass, an Eye of the Overworld, to match one already in the wizard's possession. A small sentient alien entity of barbs and hooks, named Firx, is attached to his liver to encourage his ""unremitting loyalty, zeal and singleness of purpose,"" and Iucounu uses a spell to transport Cugel via flying demon to the remote Land of Cutz. There, Cugel finds two villages, one occupied by wearers of the violet lenses, the other by peasants who work on behalf of the lens-wearers, in hopes of being promoted to their ranks. The lenses cause their wearers to see, not their squalid surroundings, but the Overworld, a vastly superior version of reality where a hut is a palace, gruel is a magnificent feast, etc. — ""seeing the world through rose-colored glasses"" on a grand scale. Cugel gains an Eye by trickery, and escapes from Cutz. He then undertakes an arduous trek back to Iucounu, cursing the magician the entire way; this forms the principal part of the book. After many pitfalls, setbacks, and harrowing escapes, including the eviction of Firx from his system, Cugel returns to Iucounu's manse, where he finds the wizard's volition has been captured by a twin to Firx. Cugel manages to extirpate the alien, subdue the magician, and enjoy the easy life in the manse, until he tries to banish Iucounu and Fianosther (who himself has come to pilfer from Cugel) with the same spell that the magician had used on him. But Cugel's tongue slips in uttering the incantation, and the flying demon seizes him instead, delivering him to the same spot as before. Author Michael Shea wrote an authorized sequel, A Quest for Simbilis (DAW Books, NY, 1974). Vance's own Cugel sequel was published as Cugel's Saga in 1983."
6,The Thief,fantasy," Gen is released from prison by the magus, the king's scholar. The magus finds Gen filthy, uncouth, and insolent, but he needs Gen’s skills as a thief. Without telling Gen where they are going, he takes him out of the city. They are joined by the magus’s two apprentices, Sophos and Ambiades, and by Pol, a soldier. The journey is dangerous, and the travelers grate on each other's nerves. The magus reveals that the object he wants Gen to steal is a precious stone called Hamaithes's Gift far far away. Gen risks death in a daring attempt to steal the stone from an almost inaccessible temple, while the entire party is pursued by the Guard of Attolia. None of the main characters is exactly what he seems to be. Gen actually works for the queen of a neighboring nation, Sophos is the heir to the throne and Ambiades is a traitor. By the end of the book, secrets are revealed, relationships adjusted, and respect among the travelers is lost and won."
9,The Sorcerer's Ship,fantasy," A man named Gene finds himself cast into a new world by a powerful godlike being. Gene has been changed in such a way that he has every talent needed to survive this new world, including the ability to understand the language of its inhabitants. Gene is rescued from the seemingly endless oceans of this new world by a passing ship that is similar to the looks of a Viking galley. Aboard the ship he makes himself useful as best he can while meeting new friends and enemies. Eventually they come to an island where a mysterious creature who some see as a friend, and some see as an enemy, joins them aboard their ship to help deal with the threat of war from their neighboring kingdom known as Koph. The creature, utilizing his sorcerer-like abilities is employed by the other country known as Nanich to help aid them in the war, but will the sorcerer, and his magic be enough to save the land of Nanich from being overrun by Koph?"
15,Always Coming Home,fantasy," The book weaves around the story of a Kesh woman called Stone Telling, who lived for years with her father's people&mdash;the Dayao or Condor people, whose society is rigid, patriarchal, hierarchical and militarily expansionist. The story fills less than a third of the book, with the rest being a mixture of Kesh cultural lore (including poetry, prose of various kinds, mythos, rituals, and recipes), essays on Kesh culture, and the musings of the narrator, ""Pandora"". Some editions of the book were accompanied by a tape of Kesh music and poetry. Pandora describes the book as a protest against contemporary civilization, which the Kesh call ""the Sickness of Man"". Pandora muses that one key difference is that the Kesh have solved the problem of overpopulation—there are many fewer of them than there are of us. They use such inventions of civilization as writing, steel, guns, electricity, trains, and a computer network (see below). However, unlike most neighboring societies, they reject government, a non-laboring caste, expansion of population or territory, disbelief in what we consider supernatural, and human domination of the natural environment. They blend millennia of human economic culture by combining aspects of hunter-gatherer, agriculture, and industry, but reject cities; indeed, what they call towns would count as villages now."
17,Darkwalker on Moonshae,fantasy," The novel and its trilogy use the Moonshae Isles as its setting. Kazgoroth, the Beast, has come into the world to destroy the power of the Earthmother. Changing its shape as needs be, the Beast goes across the island of Gwynneth, corrupting everything in its way. Its destination is a large gathering of Northmen raiders at Oman's Isle, in the middle of the Moonshaes, where they are preparing an assault on the kingdom of Corwell. The Northmen don't realize yet that this is going to be more than just a plundering raid. They don't know that their leader isn't King Thelgaar Ironhand, but the Beast, who has killed the king and assumed his shape. Meanwhile, the Earthmother, aware of the danger and hurting from the corruption brought to the land, her body, by the vile presence of the Beast, awakes her children - the Leviathan, the Pack, and Kamerynn, the Unicorn. They will try to stop Kazgoroth in different ways, but that won't be enough. At Caer Corwell, the seat of the king of Corwell, rumour brings word of war coming to the kingdom. Preparation is under way, but the Ffolk don't know where the enemy will strike. It is up to Tristan to organize the Ffolk against this both human and demonic threat. In his fight against the odds, helped by Robyn, he will grow into the responsible leader that should inherit his father's kingdom."
20,Fengshen Yanyi,fantasy," The novel is a romanticised retelling of the overthrow of King Zhou, the last ruler of the Shang Dynasty, by King Wu, who would establish the Zhou Dynasty in place of Shang. The story integrates oral and written tales of many Chinese mythological figures who are involved in the struggle as well. These figures include human heroes, immortals and various spirits (usually represented in avatar form like vixens, and pheasants, and sometimes inanimate objects such as a pipa). Bewitched by his concubine Daji, who is actually a vixen spirit in disguise as a beautiful woman, King Zhou of Shang oppresses his people and persecutes those who oppose him, including his own subjects who dare to speak up to him. King Wu of Zhou, assisted by his strategist Jiang Ziya, rallies an army to overthrow the tyrant and restore peace and order. Throughout the story, battles are waged between the kingdoms of Shang and Zhou, with both sides calling upon various supernatural beings -- deities, immortals, demons, spirits, and humans with magical abilities -- to aid them in the war. Yuanshi Tianzun bestows upon Jiang Ziya the Fengshen Bang, a list that empowers Jiang Ziya to invest the gods of Heaven. The heroes of Zhou and some of their fallen enemies from Shang are eventually endowed with heavenly ranking and essentially elevated to their roles as gods, hence the title of the novel."
21,Magic Lessons,fantasy," When a golem pulls Reason into New York, she calls Danny Galeano, Jay-Tee's eighteen year old brother, for help. Danny allows Reason to say with him while she tries to trace the golem, although her feelings for him grow until she eventually sleeps with him, despite Danny continually says that it is not right. Meanwhile, Jay-Tee nearly dies while running, and Tom is forced to give her some of his magic. Reason, who is 15 finds out that she's pregnant with Danny's baby and the whole concept is greatly welcomed. Reason's mother was pregnant with Reason at 15."
22,Jarka Ruus,fantasy," In the 20 years since the events chronicled in The Voyage of the Jerle Shannara, Grianne Ohmsford has become High Druid, or Ard Rhys, of the new Druid Council, but not without misgivings by many over her former life as the evil Ilse Witch. In a bid for power, a group of Druids led by Shadea a'Ru use unorthodox magic called ""liquid night"" to send Grianne out of the Four Lands and into the Demon-infested world of the Forbidding. Tagwen, Grianne's loyal Dwarf aid, sets out to restore her, seeking the aid of her brother Bek Ohmsford. Finding Bek and his wife Rue Meridian otherwise disposed, Tagwen joins forces with their son Pen, who has a supernatural ability to commune with nature. Advised by the King of the Silver River, they set out in search of the legendary Tanequil tree, which they are told can provide a means to reach Grianne in the Forbidding. They are joined by the elf Ahren Elessedil, now a Druid, and his niece Khyber (heir to the magic Elfstones), as well as the mysteriously empathic Rover girl Cinnaminson, for whom Pen develops strong feelings. Along the way, they are stalked by traitorous Druid minions and their spider-like assassin accomplice, Aphasia Wye. They manage to defeat one of the pursuing Druid airships, but at the cost of Ahren's life and Cinamminson's capture. Meanwhile, Grianne finds the Forbidding to be a dark mirror of the Four Lands. Exploring this horrific land known locally as Jarka Ruus, she encounters an enigmatic and somewhat annoying creature called Weka Dart. After defeating a dragon like creature and knocking Weka Dart out of a tree, she has a frightening encounter with the shade of Brona, the most legendary evil from the Four Lands, and Grianne is captured by a party of Demons."
23,Zahrah the Windseeker,fantasy," In the northern Ooni Kingdom, fear of the unknown runs deep, and children born dada are rumored to have special powers. Thirteen-year-old Zahrah Tsami feels like a normal girl, she grows her own flora computer, has mirrors sewn onto her clothes, and stays clear of the Forbidden Greeny Jungle. But unlike other children in the village of Kirki, Zahrah was born with the telling dadalocks. Only her best friend, Dari, isn’t afraid of her, even when something unusual begins happening—something that definitely makes Zahrah different. The two friends determine to investigate, edging closer and closer to danger. When Dari's life is threatened, Zahrah must face her worst fears alone, including the very thing that makes her different. In this novel, things are not always what they seem: monkeys tell fortunes, plants offer wisdom, and a teenage girl is the only one who stands a chance at saving her best friend's life."
25,Cats of the Clans,fantasy," In the introductory chapter, ""Three Lost Travelers"", the kits Mosskit, Adderkit and Blossomkit have somehow walked from StarClan to Rock's home under the earth. Rock tells the three that they did not live long enough to learn about their Clanmates. He says he will answer their questions ""about the cats you left behind."" Rock describes himself as ""the keeper of the world beneath the one your former Clanmates walk."" The remainder of the book consists of Rock's stories about each Clan, and various cats (or a group of cats) within the Clan. Rock describes major events in the cat's life, and often comments on why the cat is special or acted as he/she did. There are also stories about a few cats from the Tribe of Rushing Water, SkyClan, and BloodClan in addition to some loners and kittypets. Although Rock, as the narrator, claims neutrality, the book does not treat each Clan equally, devoting more space to ThunderClan cats and being highly critical of one of the other Clans. This is to be expected since readers get to know more of the ThunderClan cats from series than those from the other Clans."
