Title,Description,Genres1
23337,"On November 22, 1963, three shots rang out in Dallas, President Kennedy died, and the world changed. Unless...In 2011, Jake Epping, an English teacher from Lisbon Falls, Maine, sets out on an insane Ã¢â¬â and insanely possible Ã¢â¬â mission to prevent the Kennedy assassination.Leaving behind a world of computers and mobile phones, he goes back to a time of big American cars and diners, of Lindy Hopping, the sound of Elvis, and the taste of root beer.In this haunting world, Jake falls in love with Sadie, a beautiful high school librarian. And, as the ominous date of 11/22/63 approaches, he encounters a troubled loner named Lee Harvey Oswald...",Fiction
#Girlboss,"Ã¢â¬ËIn the New York Times bestseller that the Washington Post called ""Lean In for misfits,"" Sophia Amoruso shares how she went from dumpster diving to founding one of the fastest-growing retailers in the world. Sophia Amoruso spent her teens hitchhiking, committing petty theft, and scrounging in dumpsters for leftover bagels. By age twenty-two she had dropped out of school, and was broke, directionless, and checking IDs in the lobby of an art schoolÃ¢â¬â a job sheÃ¢â¬â¢d taken for the health insurance. It was in that lobby that Sophia decided to start selling vintage clothes on eBay. Flash forward ten years to today, and sheÃ¢â¬â¢s the founder and executive chairman of Nasty Gal, a $250-million-plus fashion retailer with more than four hundred employees. Sophia was never a typical CEO, or a typical anything, and sheÃ¢â¬â¢s written #GIRLBOSS for other girls like her: outsiders (and insiders) seeking a unique path to success, even when that path is windy as all hell and lined with naysayers. #GIRLBOSS proves that being successful isnÃ¢â¬â¢t about where you went to college or how popular you were in high school. ItÃ¢â¬â¢s about trusting your instincts and following your gut; knowing which rules to follow and which to break; when to button up and when to let your freak flag fly.' to 'In the New York Times bestseller that the Washington Post called ""Lean In for misfits,"" Sophia Amoruso shares how she went from dumpster diving to founding one of the fastest-growing retailers in the world Sophia Amoruso spent her teens hitchhiking, committing petty theft, and scrounging in dumpsters for leftover bagels. By age twenty-two she had dropped out of school, and was broke, directionless, and checking IDs in the lobby of an art schoolÃ¢â¬âa job sheÃ¢â¬â¢d taken for the health insurance. It was in that lobby that Sophia decided to start selling vintage clothes on eBay. Flash forward ten years to today, and sheÃ¢â¬â¢s the founder and executive chairman of Nasty Gal, a $250-million-plus fashion retailer with more than four hundred employees. Sophia was never a typical CEO, or a typical anything, and sheÃ¢â¬â¢s written #GIRLBOSS for other girls like her: outsiders (and insiders) seeking a unique path to success, even when that path is windy as all hell and lined with naysayers. #GIRLBOSS proves that being successful isnÃ¢â¬â¢t about where you went to college or how popular you were in high school. ItÃ¢â¬â¢s about trusting your instincts and following your gut; knowing which rules to follow and which to break; when to button up and when to let your freak flag fly.'",Nonfiction
Kris,"What would it be like to locate the father that you never knew? For Kris Cane this is a dream come true. However, KrisÃ¢â¬â¢ father has other ideas about his newly discovered sonÃ¢â¬Â¦ The young orphan finds his family with the help of genetic testing, but something is terribly wrong. The boy tries to discover a way to survive as he is embroiled in a murder. Can he escape with the unlikely assistance of his cat, a nun, and a detective who wants to see his new-found parent jailed?  ----Ã¢â¬ÅNot your ordinary mystery. I give it four paws up!Ã¢â¬Â---- ------Charles the CatNow on Amazon-- http://www.amazon.com/Kris-Charles-Ca...",Fiction
Devdas,"Saratchandra Chattopadhyay's tragic tale of Devdas has become synonymous with a passionate, intense love that does not find consummation.It is the story of Devdas and Paro, childhood sweethearts who are torn apart when Devdas is sent away to Calcutta by his father, the local zamindar. When Devdas returns to his village, now a handsome lad of nineteen, Paro asks him to marry her. But Devdas is unable to stand up to parental opposition to the match and rejects the proposition. Stunned, Paro agrees to marry an elderly widower. Devdas returns to Calcutta, but every waking hour of his is now filled with thoughts of Paro and his unfulfilled love for her. Desperate to resolve the situation somehow, he runs to Paro who is now married and asks her to elope with him, but she refuses.Heartbroken, he seeks solace in alcohol and in the company of the courtesan Chandramukhi. Chandramukhi falls in love with Devdas, but even when he is with her he can only think of Paro. It is now his destiny to hurtle on relentlessly on the path to self-destruction. DevdasÃ¢â¬â¢s tortured life ends when, dying of a liver ailment brought on by alcoholism, he journeys to ParoÃ¢â¬â¢s house to see her one last time. Arriving in the middle of the night, he dies unknown, untended, on her doorstep. Paro comes to know of his death only the following morning. Devdas has enthralled readers and filmgoing audiences alike for the better part of a century. This new translation brings the classic tale of star-crossed lovers alive for a new generation of readers.",Fiction
Nadja,"Nadja, originally published in France in 1928, is the first and perhaps best Surrealist romance ever written, a book which defined that movement's attitude toward everyday life.The principal narrative is an account of the author's relationship with a girl in the city of Paris, the story of an obsessional presence haunting his life. The first-person narrative is supplemented by forty-four photographs which form an integral part of the work -- pictures of various surreal people, places, and objects which the author visits or is haunted by in naja's presence and which inspire him to mediate on their reality or lack of it. The Nadja of the book is a girl, but, like Bertrand Russell's definition of electricity as not so much a thing as a way things happen, Nadja is not so much a person as the way she makes people behave. She has been described as a state of mind, a feeling about reality, k a kind of vision, and the reader sometimes wonders whether she exists at all. yet it is Nadja who gives form and structure to the novel.",Fiction
"Inferno (Robert Langdon, #4)","Harvard professor of symbology Robert Langdon awakens in an Italian hospital, disoriented and with no recollection of the past thirty-six hours, including the origin of the macabre object hidden in his belongings. With a relentless female assassin trailing them through Florence, he and his resourceful doctor, Sienna Brooks, are forced to flee. Embarking on a harrowing journey, they must unravel a series of codes, which are the work of a brilliant scientist whose obsession with the end of the world is matched only by his passion for one of the most influential masterpieces ever written, Dante Alighieri's The Inferno.  Dan Brown has raised the bar yet again, combining classical Italian art, history, and literature with cutting-edge science in this sumptuously entertaining thriller.",Fiction
Ingo,"I wish I was away in Ingo, Far across the sea, Sailing over the deepest waters, Where love nor care can trouble me...Sapphire's father mysteriously vanishes into the waves off the Cornwall coast where her family has always lived. She misses him terribly, and she longs to hear his spellbinding tales about the Mer, who live in the underwater kingdom of Ingo. Perhaps that is why she imagines herself being pulled like a magnet toward the sea. But when her brother, Conor, starts disappearing for hours on end, Sapphy starts to believe she might not be the only one who hears the call of the ocean.",Fantasy
"Assassin's Quest (Farseer Trilogy, #3)","King Shrewd is dead at the hands of his son Regal. As is Fitz--or so his enemies and friends believe. But with the help of his allies and his beast magic, he emerges from the grave, deeply scarred in body and soul. The kingdom also teeters toward ruin: Regal has plundered and abandoned the capital, while the rightful heir, Prince Verity, is lost to his mad quest--perhaps to death. Only Verity's return--or the heir his princess carries--can save the Six Duchies.But Fitz will not wait. Driven by loss and bitter memories, he undertakes a quest: to kill Regal. The journey casts him into deep waters, as he discovers wild currents of magic within him--currents that will either drown him or make him something more than he was.",Fantasy
Elmer Gantry,"Universally recognized as a landmark in American literature, Elmer Gantry scandalized readers when it was first published, causing Sinclair Lewis to be ""invited"" to a jail cell in New Hampshire and to his own lynching in Virginia. His portrait of a golden-tongued evangelist who rises to power within his church--a saver of souls who lives a life of duplicity, sensuality, and ruthless self-indulgence--is also the record of a period, a reign of grotesque vulgarity, which but for Lewis would have left no trace of itself. Elmer Gantry has been called the greatest, most vital, and most penetrating study of hypocrisy that has been written since the works of Voltaire.",Fiction
"Practical Magic (Practical Magic, #1)","Alternate cover for ISBN 9780425190371 (currently here).The Owens sisters confront the challenges of life and love in this bewitching novel from New York Times bestselling author Alice Hoffman.For more than two hundred years, the Owens women have been blamed for everything that has gone wrong in their Massachusetts town. Gillian and Sally have endured that fate as well: as children, the sisters were forever outsiders, taunted, talked about, pointed at. Their elderly aunts almost seemed to encourage the whispers of witchery, with their musty house and their exotic concoctions and their crowd of black cats. But all Gillian and Sally wanted was to escape. One will do so by marrying, the other by running away. But the bonds they share will bring them backÃ¢â¬âalmost as if by magic...",Fantasy
"Renegades (Renegades, #1)","Secret Identities. Extraordinary Powers. She wants vengeance. He wants justice.The Renegades are a syndicate of prodigies Ã¢â¬â humans with extraordinary abilities Ã¢â¬â who emerged from the ruins of a crumbled society and established peace and order where chaos reigned. As champions of justice, they remain a symbol of hope and courage to everyone... except the villains they once overthrew.Nova has a reason to hate the Renegades, and she is on a mission for vengeance. As she gets closer to her target, she meets Adrian, a Renegade boy who believes in justice Ã¢â¬â and in Nova. But Nova's allegiance is to a villain who has the power to end them both.",Fantasy
Politixworks,"Politixworks is a satirical examination of the fecklessness of leadership in a modern democracy. In it there are allusions to the two normative ideologies, liberalism and conservatism, wrestling with each other through the personifications of Lyndon Johnson and Theodore Cruz. Struggling to win the hearts and minds of a community of 12 year old children, the two rivals are like ""old ghosts batting for the soul of their class"". Both aspire to lead the 6th grade to their own ends which requires that they transform into political leaders. They are craven, crass, brutish, impulsive and reckless, and in all ways that matter, reflect the accurate caricature of the modern politician.",Fiction
